,Food Name,Protein,Fat,Carbs,Sugar,Calories,cluster
1352,"Filled bread roll, commercial, crumbed chicken, cheese & water based sauce",12.1,11.3,28.1,0.3,255.475,yellow
1353,"Filled bread roll, commercial, ham & salami, cheese, oil based sauce",13.7,10.4,23.4,0.3,236.15,yellow
1354,"Filled bread roll, commercial, ham & salami, cheese, water based sauce",13.7,7.9,23.5,3.1,214.025,yellow
1355,"Filled bread roll, commercial, ham, oil based sauce",11.4,0.8,32.1,0.4,173.175,green
1356,"Filled bread roll, commercial, ham, cheese, no sauce",13.9,6.1,24.1,0.3,200.875,green
1357,"Filled bread roll, commercial, ham, cheese, oil based sauce",13.5,8.5,23.4,0.3,218.25,yellow
1358,"Filled bread roll, commercial, ham, cheese, water based sauce",13.5,5.9,23.5,3.1,195.225,green
1359,"Filled bread roll, commercial, meatball & no sauce",10.5,5.4,25.5,4.4,186.225,green
1360,"Filled bread roll, commercial, meatball, cheese, no sauce",11.5,7.2,23.1,0.4,197.425,green
1361,"Filled bread roll, commercial, meatball, cheese & oil based sauce",11.2,9.3,22.5,0.4,212.875,yellow
1362,"Filled bread roll, commercial, meatball, cheese & water based sauce",11.2,0.7,22.6,0.4,135.85,green
1363,"Filled bread roll, commercial, tuna & water based sauce",9.9,17.7,23.7,4.7,287.775,yellow
1364,"Filled bread roll, commercial, tuna, cheese & no sauce",11.1,18.9,22.1,4.3,297.375,yellow
1365,"Filled bread roll, commercial, tuna, cheese & oil based sauce",10.8,20.5,21.6,4.3,308.7,yellow
1366,"Filled bread roll, commercial, vegetable & water based sauce",8.2,5.6,34.1,6.6,211.075,yellow
1367,"Filled bread roll, commercial, vegetable, cheese & no sauce",9.6,7.6,31.7,0.6,225.67499999999998,yellow
1368,"Filled bread roll, commercial, vegetable, cheese & oil based sauce",9.3,9.7,30.9,5.9,240.375,yellow
1369,"Filled bread roll, commercial, vegetable, cheese & water based sauce",9.3,7.4,3.1,0.6,115.42500000000001,green
1370,"Fish burger, with cheese, fast food chain",12.7,0.9,2.7,5.3,69.025,green
1371,"Fish burger, bread roll, with salad & mayonnaise, takeaway & homemade",11.9,3.4,17.4,2.9,143.45,green
1372,"Hamburger, no roll, beef patty, with cheese, fast food chain",2.3,15.5,3.4,3.2,161.45,green
1373,"Hamburger, no roll, beef patty, with salad, takeaway & homemade",18.8,8.7,6.4,1.9,177.5,green
1374,"Hamburger, no roll, vegetable & lentil patty, with salad, takeaway & homemade",4.7,3.9,2.1,7.8,61.775000000000006,green
1375,"Hamburger, white roll, beef patty, with bacon, beetroot, cheese, egg, lettuce, onion & tomato & tomato sauce, fast food chain",13.8,10.2,14.8,4.2,202.5,green
1376,"Hamburger, white roll, beef patty, with bacon, cheese, onion, pickles & sauce, fast food chain",15.5,11.7,21.4,2.8,247.55,yellow
1377,"Hamburger, white roll, beef patty, with bacon, cheese, lettuce, onion rings, tomato, pickles, mayonnaise & sauce, fast food chain",12.2,14.5,18.6,5.2,249.05,yellow
1378,"Hamburger, white roll, 2 beef patties, with bacon, cheese, lettuce, onion, pickles, tomato, mayonnaise & sauce, fast food chain",15.3,1.6,12.1,3.9,120.97500000000001,green
1379,"Hamburger, white roll, 2 beef patties, with bacon, cheese, lettuce, tomato & mayonnaise, fast food style",16.5,16.5,13.8,2.9,266.25,yellow
1380,"Hamburger, white roll, beef patty, with beetroot, cheese, lettuce, onion, tomato & tomato sauce, fast food chain",12.8,9.3,17.5,0.5,200.525,green
1381,"Hamburger, white roll, beef patty, with cheese, lettuce, onion, pickles, tomato, mayonnaise & tomato sauce, fast food chain",11.5,14.8,1.7,5.3,185.57500000000002,green
1382,"Hamburger, white roll, beef patty, with cheese, lettuce, sauce, fast food chain",12.5,12.2,17.6,2.9,225.8,yellow
1383,"Hamburger, white roll, beef patty, with cheese, onion, pickles & sauce, fast food chain",15.1,12.1,22.4,2.9,253.29999999999998,yellow
1384,"Hamburger, white roll, 2 beef patties, with cheese, onion, pickles & sauce, fast food chain",17.8,13.1,18.1,2.3,256.975,yellow
1385,"Hamburger, white roll, beef patty, with cheese, sauce, fast food chain",18.9,12.9,15.5,4.5,249.825,yellow
1386,"Hamburger, white roll, beef patty, with lettuce, onion, pickles & tomato, mayonnaise & sauce, fast food chain",10.8,13.6,1.8,5.5,172.35,green
1387,"Hamburger, white roll, 2 beef patties, with lettuce, onion, pickles, tomato, mayonnaise & sauce, fast food chain",14.6,15.3,1.4,4.3,201.35000000000002,green
1388,"Hamburger, white roll, beef patty, with pickles, tomato sauce & mustard, fast food chain",14.1,9.8,26.8,7.6,245.1,yellow
1389,"Hamburger, bread roll, beef patty, takeaway & homemade",15.1,6.8,28.6,3.6,228.85,yellow
1390,"Hamburger, bread roll, beef patty, with avocado, cheese & salad, takeaway & homemade",11.2,6.7,18.5,0.3,174.475,green
1391,"Hamburger, bread roll, beef patty, with bacon & cheese, takeaway & homemade",17.7,0.9,23.7,3.1,167.77499999999998,green
1392,"Hamburger, bread roll, beef patty, with bacon, cheese & salad, takeaway & homemade",1.3,6.5,18.1,3.4,131.575,green
1393,"Hamburger, bread roll, beef patty, with bacon & salad, takeaway & homemade",12.4,5.1,19.1,3.6,167.125,green
1394,"Hamburger, bread roll, beef patty, with cheese, takeaway & homemade",15.8,8.7,26.3,3.3,240.125,yellow
1395,"Hamburger, bread roll, beef patty, with cheese & salad, takeaway & homemade",11.3,6.1,19.5,3.6,173.225,green
1396,"Hamburger, bread roll, beef patty, with egg & salad, takeaway & homemade",10.9,5.6,18.6,3.4,163.75,green
1397,"Hamburger, bread roll, beef patty, with salad, takeaway & homemade",12.1,9.1,1.8,1.3,137.04999999999998,green
1398,"Hamburger, bread roll, goat fillet or patty, with salad, takeaway & homemade",1.1,3.5,18.7,3.5,106.025,green
1399,"Hamburger, bread roll, lamb fillet or patty, takeaway & homemade",15.4,6.3,28.3,3.5,224.425,yellow
1400,"Hamburger, bread roll, lamb fillet or patty, with cheese, takeaway & homemade",16.1,8.2,2.6,3.3,147.95,green
1401,"Hamburger, bread roll, lamb fillet or patty, with cheese & salad, takeaway & homemade",11.5,5.7,19.3,3.6,169.675,green
1402,"Hamburger, bread roll, lamb fillet or patty, with salad, takeaway & homemade",10.8,4.2,20.4,3.8,157.5,green
1403,"Hamburger, bread roll, beef patty, with avocado & cheese, takeaway & homemade",14.9,9.6,24.6,3.1,238.25,yellow
1404,"Hamburger, bread roll, processed meat, with onion, takeaway & homemade",12.4,0.6,23.8,3.8,144.25,green
1405,"Hot dog, bread roll, frankfurt filling",11.6,9.6,26.3,1.6,231.42499999999998,yellow
1406,"Hot dog, bread roll, frankfurt & onion filling",9.7,7.6,22.3,2.8,190.825,green
1407,"Hot dog, bread roll, frankfurt, onion & sauce filling",9.1,0.7,22.4,4.4,126.69999999999999,green
1408,"Hot dog, bread roll, frankfurt & sauce filling",10.6,8.7,26.1,3.7,218.575,yellow
1409,"Hot dog, bread roll, frankfurt, cheese & sauce filling",13.3,12.7,2.1,3.1,175.375,green
1410,"Hot dog, bread roll, frankfurt, cheese, onion & sauce filling",11.6,10.7,18.8,3.7,213.2,yellow
1411,"Hot dog, bread roll, frankfurt, onion, meat & sauce filling",11.2,7.6,18.3,2.3,181.825,green
1412,"Hot dog, bread roll, vegetarian style frankfurt filling",14.2,5.5,2.6,2.3,116.05,green
1413,"Kebab wrap, beef, with salad, takeaway",13.4,11.2,21.4,1.8,234.65,yellow
1414,"Kebab wrap, beef, with salad & sauce, takeaway",12.6,10.6,21.8,2.6,227.54999999999998,yellow
1415,"Kebab wrap, beef, with salad, cheese & sauce, takeaway",13.4,12.1,20.2,2.4,238.25,yellow
1416,"Kebab wrap, chicken, with salad, takeaway",1.2,8.5,18.4,0.2,150.3,green
1417,"Kebab wrap, chicken, with salad & sauce, takeaway",11.3,8.1,1.9,2.8,125.225,green
1418,"Kebab wrap, chicken, with salad, cheese & sauce, takeaway",12.2,9.8,17.7,2.7,203.375,green
1419,"Kebab wrap, falafel, with salad & sauce, takeaway",6.9,4.9,24.9,4.2,165.075,green
1420,"Kebab wrap, lamb, with salad, takeaway",1.2,7.7,18.4,0.2,143.1,green
1421,"Kebab wrap, lamb, with salad & sauce, takeaway",11.3,7.4,1.9,2.8,118.92500000000001,green
1422,"Kebab wrap, lamb, with salad & sauce, homemade from basic ingredients",1.4,3.8,18.3,0.3,108.425,green
1423,"Kebab wrap, lamb, with salad, cheese & sauce, takeaway",12.2,9.1,17.6,2.6,196.7,green
1424,"Mexican nachos, corn chips, beans, with cheese & salsa",7.6,11.5,19.8,1.2,208.15,green
1425,"Mexican nachos, corn chips, beans, with cheese, guacamole & salsa",6.7,12.4,16.9,1.2,201.775,green
1426,"Mexican nachos, corn chips, beef, with cheese & salsa",19.5,14.9,14.3,1.6,265.725,yellow
1427,"Mexican nachos, corn chips, beef, with cheese, guacamole & salsa",17.1,15.3,12.5,1.5,252.97500000000002,yellow
1428,"Mexican nachos, corn chips, beef & bean, with cheese & salsa",13.5,12.7,16.6,1.4,230.55,yellow
1429,"Mexican nachos, corn chips, beef & bean, with cheese, guacamole & salsa",11.9,13.4,14.4,1.3,222.20000000000002,yellow
1430,"Mexican nachos, corn chips, with cheese, guacamole, salad & salsa",0.6,1.5,16.5,1.8,77.775,green
1431,"Mexican nachos, corn chips, with cheese & salsa",7.3,14.9,2.2,2.7,171.54999999999998,green
1432,"Mexican nachos, corn chips, with cheese, salad & salsa",5.8,11.4,17.3,2.6,190.675,green
1433,"Mexican nachos, corn chips, with salsa",3.8,11.6,26.6,3.2,219.35,yellow
1434,"Mexican taco, hard shell, bean, with cheese & salsa",7.8,0.9,1.6,1.2,45.3,green
1435,"Mexican taco, hard shell, bean, with cheese, salad & salsa",5.9,6.5,1.2,1.4,86.6,green
1436,"Mexican taco, hard shell, beef, with cheese & salsa",19.9,13.5,11.7,1.9,244.975,yellow
1437,"Mexican taco, hard shell, beef, with cheese, salad & salsa",14.8,9.9,9.1,1.9,182.425,green
1438,"Mexican taco, hard shell, beef, with salad & salsa",13.8,7.6,1.0,0.2,127.35,green
1439,"Mexican taco, hard shell, beef & bean, with cheese & salsa",1.4,11.3,13.8,1.6,159.05,green
1440,"Mexican taco, hard shell, beef & bean, with cheese, salad & salsa",10.4,8.2,10.5,1.7,154.775,green
1441,"Mexican taco, hard shell, chicken, with cheese, salad & salsa",13.5,8.5,9.1,1.9,164.625,green
1442,"Mexican taco, hard shell, chicken, with salad & salsa",12.3,0.6,1.0,0.2,58.35,green
1443,"Mexican taco, hard shell, chicken & bean, with cheese, salad & salsa",9.8,7.5,10.5,1.7,146.075,green
1444,"Mexican wrap, bean, with cheese, guacamole, salad & salsa",5.1,5.7,15.2,1.5,128.7,green
1445,"Mexican wrap, bean, with cheese & salsa",7.3,6.2,22.3,1.1,168.625,green
1446,"Mexican wrap, bean, with cheese, salad & salsa",5.5,4.5,16.6,1.6,124.75,green
1447,"Mexican wrap, bean, with salad & salsa",4.1,2.6,17.7,1.6,106.175,green
1448,"Mexican wrap, beef & bean, with cheese, salad & salsa",9.5,5.1,15.2,1.7,140.9,green
1449,"Mexican wrap, beef, with cheese & salsa",20.3,7.9,17.9,1.7,219.425,yellow
1450,"Mexican wrap, beef, with cheese, salad & salsa",13.5,5.6,1.4,0.2,109.65,green
1451,"Mexican wrap, beef, with cheese, guacamole & salsa",18.2,0.9,1.6,1.6,86.89999999999999,green
1452,"Mexican wrap, beef, with cheese, guacamole, salad & salsa",12.5,6.7,12.9,1.9,158.675,green
1453,"Mexican wrap, beef, with salad & salsa",12.8,3.9,1.5,2.1,91.92500000000001,green
1454,"Mexican wrap, beef & bean, with cheese & salsa",13.9,7.1,20.1,1.4,194.875,green
1455,"Mexican wrap, beef & bean, with cheese, guacamole, salad & salsa",8.8,6.2,1.4,1.7,96.25,green
1456,"Mexican wrap, beef & bean, with salad & salsa",8.5,3.2,16.3,1.8,123.925,green
1457,"Mexican wrap, with cheese & salsa",1.2,14.8,27.8,1.7,242.25000000000003,yellow
1458,"Mexican wrap, chicken, with cheese & salsa",17.4,8.8,17.9,1.7,215.925,yellow
1459,"Mexican wrap, chicken, with cheese, salad & salsa",11.8,6.2,14.1,0.2,155.875,green
1460,"Mexican wrap, chicken, with cheese, guacamole & salsa",15.6,9.8,1.6,1.6,156.6,green
1461,"Mexican wrap, chicken, with cheese, guacamole, salad & salsa",10.9,7.2,12.9,1.9,156.775,green
1462,"Mexican wrap, chicken, with salad & salsa",10.9,4.5,1.5,2.1,89.725,green
1463,"Mexican wrap, chicken & bean, with cheese & salsa",12.2,7.8,21.4,1.5,199.25,green
1464,"Mexican wrap, chicken & bean, with cheese, salad & salsa",8.7,5.4,15.3,1.8,140.775,green
1465,"Mexican wrap, chicken & bean, with salad & salsa",7.6,3.5,16.4,1.9,123.39999999999999,green
1466,"Mexican wrap, fish, with cheese, guacamole, salad & salsa",10.8,7.7,12.9,1.9,160.875,green
1467,"Mexican wrap, with cheese, guacamole, salad & salsa",6.8,9.7,15.3,1.8,171.875,green
1468,"Muffin, English style, with bacon, cheese & egg, fast food chain",13.6,9.3,19.3,1.1,210.475,green
1469,"Muffin, English style, with bacon & beef sausage patty, fast food chain",14.2,9.5,21.1,1.3,221.425,yellow
1470,"Muffin, English style, with beef sausage patty, cheese & egg, fast food chain",13.3,12.6,17.3,0.9,231.475,yellow
1471,"Pizza, bacon & egg, thick base, BBQ sauce, fast food chain",11.3,10.1,26.4,2.8,235.1,yellow
1472,"Pizza, bacon & egg, thin base, BBQ sauce, fast food chain",11.6,9.8,26.1,0.3,232.475,yellow
1473,"Pizza, cheese & pesto, purchased frozen, uncooked",1.1,10.4,26.5,0.8,197.375,green
1474,"Pizza, cheese & tomato, purchased frozen, baked",15.9,9.9,29.7,4.3,264.07500000000005,yellow
1475,"Pizza, cheese & tomato, thick base, takeaway style or homemade",12.5,10.1,30.5,1.5,255.27499999999998,yellow
1476,"Pizza, cheese & tomato, thin base, takeaway style",13.7,11.5,25.9,1.7,255.425,yellow
1477,"Pizza, cheese & tomato, thick base, fast food chain",11.8,11.4,28.4,1.4,256.3,yellow
1478,"Pizza, cheese & tomato, thin base, fast food chain",12.9,11.9,25.4,1.7,253.95000000000002,yellow
1479,"Pizza, cheese & tomato, flat bread base, homemade",15.8,10.4,29.4,3.2,267.05,yellow
1480,"Pizza, chicken & bacon, BBQ sauce, purchased frozen, baked",13.7,7.5,28.6,5.3,229.55,yellow
1481,"Pizza, chicken & bacon, thick base, BBQ sauce, takeaway style or homemade",13.1,8.1,27.5,2.6,228.42499999999998,yellow
1482,"Pizza, chicken & bacon, thin base, BBQ sauce, takeaway style",13.7,8.5,25.5,2.9,226.925,yellow
1483,"Pizza, chicken & bacon, thick base, BBQ sauce, fast food chain",12.9,9.6,26.7,2.6,238.125,yellow
1484,"Pizza, chicken & bacon, thin base, BBQ sauce, fast food chain",13.5,9.3,2.6,2.9,147.45,green
1485,"Pizza, chicken & vegetable, thick base, takeaway style & homemade",14.3,10.5,24.4,1.6,243.2,yellow
1486,"Pizza, chicken & vegetable, thin base, takeaway style",15.3,11.9,20.1,1.8,243.675,yellow
1487,"Pizza, chicken & vegetable, thin base, fast food chain",15.2,12.5,20.5,1.8,250.175,yellow
1488,"Pizza, chicken & vegetable, flat bread base, homemade",16.8,11.1,22.6,2.8,251.85,yellow
1489,"Pizza, ham & cheese, frozen, baked",14.2,9.7,25.1,0.9,238.225,yellow
1490,"Pizza, ham & cheese, thick base, takeaway style & homemade",13.9,9.3,27.2,0.6,241.3,yellow
1491,"Pizza, ham & cheese, thin base, takeaway style",15.5,10.9,22.3,0.6,243.72500000000002,yellow
1492,"Pizza, ham & cheese, thin base, fast food chain",15.6,12.6,22.9,0.6,261.67499999999995,yellow
1493,"Pizza, ham & cheese, flat bread base, homemade",17.1,8.5,2.6,2.1,154.65,green
1494,"Pizza, ham & pineapple, purchased frozen, baked",11.5,0.6,28.3,4.8,157.525,green
1495,"Pizza, ham & pineapple, thick base, takeaway style & homemade",11.4,8.2,28.7,2.1,227.025,yellow
1496,"Pizza, ham & pineapple, thin base, takeaway style",12.4,9.3,24.1,2.4,223.675,yellow
1497,"Pizza, ham & pineapple, thick base, fast food chain",12.9,8.1,31.5,4.5,242.625,yellow
1498,"Pizza, ham & pineapple, thin base, fast food chain",1.3,8.5,2.6,2.8,91.45,green
1499,"Pizza, lamb, thick base, takeaway style & homemade",11.4,9.2,25.1,2.3,222.525,yellow
1500,"Pizza, meat lovers, BBQ sauce, purchased frozen, baked",14.5,10.2,32.1,9.8,270.175,yellow
1501,"Pizza, meat lovers, thick base, takeaway style & homemade",12.7,10.5,30.8,0.3,260.8,yellow
1502,"Pizza, meat lovers, thin base, takeaway style",14.4,12.5,25.9,2.9,267.225,yellow
1503,"Pizza, meat lovers, thick base, BBQ sauce, fast food chain",11.9,11.7,30.7,4.8,268.025,yellow
1504,"Pizza, meat lovers, thin base, fast food chain",13.3,12.5,27.8,5.5,269.95,yellow
1505,"Pizza, pepperoni, purchased frozen, baked",14.8,11.4,33.3,4.2,286.675,yellow
1506,"Pizza, pepperoni, thick base, takeaway style & homemade",12.4,11.7,33.9,1.1,282.025,yellow
1507,"Pizza, pepperoni, thin base, takeaway style",14.7,15.5,27.9,1.1,302.925,yellow
1508,"Pizza, pepperoni, thick base, fast food chain",11.7,13.2,31.4,1.1,283.35,yellow
1509,"Pizza, pepperoni, thin base, fast food chain",13.9,15.7,27.2,1.1,298.9,yellow
1510,"Pizza, pepperoni, flat bread base, homemade",16.8,14.4,31.7,2.7,315.675,yellow
1511,"Pizza, prawn & vegetable, thick base, takeaway style & homemade",1.3,10.1,24.4,1.6,187.6,green
1512,"Pizza, prawn & vegetable, thin base, takeaway style",14.1,11.6,2.0,1.8,168.29999999999998,green
1513,"Pizza, prosciutto, thick base, takeaway style & homemade",13.5,9.3,33.7,1.1,264.075,yellow
1514,"Pizza, seafood, thin base, purchased frozen, baked",13.8,6.9,24.4,3.3,208.8,green
1515,"Pizza, seafood, thick base, takeaway style & homemade",12.7,7.2,22.8,0.1,201.1,green
1516,"Pizza, seafood, thin base, takeaway style",13.2,7.5,20.5,1.1,197.175,green
1517,"Pizza, seafood, thick base, fast food chain",12.6,8.5,22.1,0.1,209.775,green
1518,"Pizza, seafood, thin base, fast food chain",1.3,8.2,20.9,1.1,157.375,green
1519,"Pizza, supreme, purchased frozen, baked",1.4,11.6,26.3,0.9,208.625,green
1520,"Pizza, supreme, thick base, takeaway style & homemade",12.3,11.1,26.9,1.8,249.975,yellow
1521,"Pizza, supreme, thin base, takeaway style",13.9,13.1,22.9,0.2,259.375,yellow
1522,"Pizza, supreme, thick base, fast food chain",12.9,0.9,27.6,2.4,163.2,green
1523,"Pizza, supreme, thin base, fast food chain",14.1,8.7,25.7,0.1,231.075,yellow
1524,"Pizza, supreme, stuffed crust, fast food chain",13.5,12.5,23.2,1.7,253.5,yellow
1525,"Pizza, supreme, flat bread base, homemade",15.6,12.2,25.8,3.2,268.95,yellow
1526,"Pizza, tomato sauce, thick base, takeaway style or homemade",7.9,4.3,50.5,1.3,259.675,yellow
1527,"Pizza, vegetable, purchased frozen, baked",11.4,6.9,31.3,5.2,225.075,yellow
1528,"Pizza, vegetable, thick base, takeaway style & homemade",0.9,7.2,29.1,2.3,177.52499999999998,green
1529,"Pizza, vegetable, thin base, takeaway style",1.0,8.4,26.4,2.9,178.60000000000002,green
1530,"Pizza, vegetable, thick base, fast food chain",8.7,8.6,27.6,2.2,215.7,yellow
1531,"Pizza, vegetable, thin base, fast food chain",9.6,0.9,26.3,2.8,145.125,green
1532,"Pizza, vegetable, flat bread base, homemade",11.9,7.4,29.7,4.3,225.57500000000002,yellow
1533,"Pizza, vegetable, gluten free base, takeaway style & homemade",8.5,7.9,25.1,3.2,199.22500000000002,green
1534,"Sandwich or roll, filled with canned spaghetti, toasted",5.8,2.8,23.6,4.1,136.9,green
1535,"Sandwich or roll, filled with cheese",13.5,13.3,27.7,1.8,277.575,yellow
1536,"Sandwich or roll, filled with cheese, toasted",16.1,15.8,3.3,2.2,218.97500000000002,yellow
1537,"Sandwich or roll, filled with chicken",14.7,5.9,24.5,1.5,203.775,green
1538,"Sandwich or roll, filled with chicken & salad",10.4,0.4,1.8,2.4,51.95,green
1539,"Sandwich or roll, filled with egg",10.3,11.8,20.3,1.5,223.525,yellow
1540,"Sandwich or roll, filled with ham",11.1,6.2,30.5,0.2,214.575,yellow
1541,"Sandwich or roll, filled with ham & cheese",14.1,11.6,23.6,1.7,249.29999999999998,yellow
1542,"Sandwich or roll, filled with ham & cheese, toasted",12.1,9.3,22.3,0.2,215.725,yellow
1543,"Sandwich or roll, filled with ham & salad",7.4,3.9,20.6,2.9,141.95,green
1544,"Sandwich or roll, filled with ham & tomato, toasted",1.0,5.5,27.6,2.5,157.0,green
1545,"Sandwich or roll, filled with peanut butter",11.2,1.3,34.8,3.1,187.0,green
1546,"Sandwich or roll, filled with roast beef or lamb",20.7,6.8,17.6,1.1,210.0,green
1547,"Sandwich or roll, filled with roast beef or lamb & salad",15.6,0.5,14.1,1.9,119.775,green
1548,"Sandwich or roll, filled with salad",4.5,2.9,17.6,3.5,110.1,green
1549,"Sandwich or roll, filled with tuna",16.2,6.9,19.6,1.5,200.4,green
1550,"Sandwich or roll, filled with tuna & salad",1.2,0.5,15.3,2.3,66.675,green
1551,"Sandwich or roll, filled with vegemite",10.6,6.7,36.1,2.3,238.075,yellow
1552,"Sandwich or roll, filled with vegemite & cheese",14.1,12.6,26.8,1.8,270.29999999999995,yellow
1553,"Sandwich or roll, not further defined",11.8,0.7,23.6,2.1,142.0,green
1554,"Sandwich or roll, not further defined, toasted",1.5,11.9,31.3,2.6,230.47500000000002,yellow
1555,"Wrap, filled, not further defined",3.7,1.7,18.9,4.3,100.975,green
1556,"Steak sandwich, bread roll, beef steak, takeaway & homemade",20.1,8.2,13.8,1.6,205.95,green
1557,"Steak sandwich, bread roll, beef steak, with cheese, takeaway & homemade",20.4,9.9,12.8,1.5,218.7,yellow
1558,"Steak sandwich, bread roll, beef steak, with cheese & salad, takeaway & homemade",14.8,0.7,10.3,2.3,104.125,green
1559,"Steak sandwich, bread roll, beef steak, with salad, takeaway & homemade",14.2,5.7,10.8,2.4,148.6,green
1560,"Vegetable burger, bread roll, vegetable patty, with cheese, lettuce, onion, sauce & mayonnaise, fast food chain",6.1,12.6,22.8,5.7,223.29999999999998,yellow
1561,"Vegetable or lentil burger, bread roll, vegetable patty, takeaway & homemade",7.4,4.3,35.3,6.9,200.675,green
1562,"Vegetable or lentil burger, bread roll, vegetable patty, with cheese, takeaway & homemade",8.6,6.3,32.7,6.5,213.72500000000002,yellow
1563,"Vegetable or lentil burger, bread roll, vegetable patty, with cheese & salad, takeaway & homemade",6.5,4.5,24.6,5.8,158.75,green
1564,"Vegetable or lentil burger, bread roll, vegetable patty, with salad, takeaway & homemade",5.6,3.1,25.9,6.1,147.425,green
1565,"Noodle, buckwheat or soba, dry",10.8,1.6,69.5,0.4,318.225,yellow
1566,"Noodle, buckwheat or soba, boiled, drained",4.2,0.6,26.8,0.2,122.7,green
1567,"Noodle, wheat, Asian style, cooked",6.3,0.1,26.5,0.0,125.475,green
1568,"Noodle, wheat with egg, plain, dry",12.7,1.5,69.8,0.0,326.05,yellow
1569,"Noodle, wheat with egg, plain, boiled, no added fat",5.7,0.6,27.4,0.0,130.95,green
1570,"Noodle, wheat, instant, flavoured, dry, uncooked",9.2,1.9,54.3,0.0,257.525,yellow
1571,"Noodle, wheat, instant, flavoured, boiled, drained",3.7,7.7,2.2,0.0,92.35,green
1572,"Noodle, wheat, instant, flavoured, boiled, undrained",1.4,2.9,8.3,0.0,62.825,green
1573,"Noodle, wheat, instant, unflavoured, dry, uncooked",9.6,19.7,56.4,0.0,427.2,yellow
1574,"Noodle, wheat, instant, unflavoured, boiled, drained",3.9,0.8,22.8,0.0,108.3,green
1575,"Noodle, wheat, instant, unflavoured, boiled, undrained",1.5,0.3,8.6,0.0,40.95,green
1576,"Noodle, wheat, instant, flavoured, fried or stir-fried, with or without fat",3.8,1.0,22.7,0.0,109.325,green
1577,"Noodle, wheat, instant, low fat, flavoured, boiled, drained",5.9,0.2,26.8,0.0,125.9,green
1578,"Noodle, wheat, instant, low fat, flavoured, boiled, undrained",2.2,0.8,10.1,0.0,53.875,green
1579,"Noodle, wheat, instant, low fat, unflavoured, boiled, drained",5.9,0.2,26.8,0.0,125.9,green
1580,"Noodle, wheat, instant, low fat, unflavoured, boiled, undrained",2.2,0.8,10.1,0.0,53.875,green
1581,"Noodle, wheat, instant, not further defined",3.5,6.9,20.5,0.0,152.975,green
1582,"Noodle, rice stick, boiled, drained",1.6,0.3,19.1,0.0,80.725,green
1583,"Noodle, cooked, not further defined",4.2,3.8,23.3,0.0,138.375,green
1584,"Noodles & pasta, boiled, for use in mixed dishes",4.8,0.1,24.3,0.1,111.225,green
1585,"Pasta, gluten free, plain, boiled from dry, no added salt",3.1,0.7,32.4,0.0,140.2,green
1586,"Pasta, gluten free, plain, boiled from dry, with added salt",3.1,0.7,32.4,0.0,140.2,green
1587,"Pasta, white wheat flour, plain, dry",12.7,1.4,68.5,0.0,320.275,yellow
1588,"Pasta, white wheat flour, plain, boiled from dry, no added salt",5.1,0.1,23.8,0.2,110.55,green
1589,"Pasta, white wheat flour, plain, boiled from dry, with added salt",3.6,0.3,24.6,0.0,109.35,green
1590,"Pasta, white wheat flour, plain, fresh, uncooked",9.6,3.4,49.4,0.9,254.25,yellow
1591,"Pasta, white wheat flour, plain, fresh, boiled, no added salt",5.4,0.3,27.1,1.1,125.925,green
1592,"Pasta, white wheat flour, plain, homemade, boiled, no added salt",6.9,2.3,28.8,0.1,156.3,green
1593,"Pasta, white wheat flour, plain, homemade, boiled, with added salt",6.9,2.3,28.8,0.1,156.3,green
1594,"Pasta, white wheat flour & egg, plain, dry",12.8,1.5,70.2,0.0,327.95,yellow
1595,"Pasta, white wheat flour & egg, plain, boiled, no added salt",5.7,0.6,27.4,0.0,130.95,green
1596,"Pasta, white wheat flour & egg, plain, boiled, with added salt",5.3,0.6,25.6,0.0,122.6,green
1597,"Pasta, maize flour (corn) based, plain, dry",7.5,2.1,68.3,0.0,305.025,yellow
1598,"Pasta, maize flour (corn) based, plain, cooked",2.6,0.7,23.1,0.0,103.325,green
1599,"Pasta, white wheat flour & spinach, plain, dry",11.9,1.3,73.1,2.7,333.425,yellow
1600,"Pasta, white wheat flour & spinach, plain, boiled, no added salt",3.8,0.4,27.3,0.2,121.175,green
1601,"Pasta, white wheat flour & spinach, plain, boiled, with added salt",3.8,0.4,27.3,0.2,121.175,green
1602,"Pasta, wholemeal wheat flour, plain, dry",12.5,2.2,60.6,0.0,297.05,yellow
1603,"Pasta, wholemeal wheat flour, plain, boiled from dry, no added salt",5.1,0.8,24.6,0.0,119.85,green
1604,"Pasta, wholemeal wheat flour, plain, boiled from dry, with added salt",5.1,0.8,24.6,0.0,119.85,green
1605,"Pasta, filled with meat, fresh, commercial, boiled, without added sauce",6.3,3.9,21.3,0.3,140.175,green
1606,"Pasta, filled with spinach & ricotta, fresh, commercial, boiled, without added sauce",5.1,2.8,13.5,0.1,96.225,green
1607,"Pasta, filled with spinach & ricotta, fresh, homemade, boiled, without added sauce",5.7,2.6,11.9,0.6,90.825,green
1608,"Pasta, filled with vegetables, fresh, commercial, boiled, without added sauce",5.7,0.3,18.6,1.1,95.25,green
1609,"Pasta, unfilled, for commercial pasta recipes",5.2,1.2,26.8,0.0,132.1,green
1610,"Pasta, unfilled, for homemade pasta recipes",5.2,0.7,2.5,0.3,36.475,green
1611,"Cannelloni, homemade, filled with spinach & ricotta, with commercial based tomato sauce",7.9,4.8,12.7,3.2,122.425,green
